mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
nano 8.7.1-1
nasm 3.01-1
ncurses 6.6-2
neon 0.37.1-1
neovim 0.11.7-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.56.0-1
ninja 1.13.2-3
nm-connection-editor 1.36.0-1
node-gyp 12.2.0-1
nodejs 25.8.2-1
nodejs-nopt 9.0.0-1
npm 11.12.1-1
npth 1.8-1
nspr 4.38.2-1
nss 3.122-1
ntfs-3g 2022.10.3-2
numactl 2.0.19-1
nvidia-580xx-dkms 580.142-1
nvidia-580xx-settings 580.142-1
nvidia-580xx-settings-debug 580.142-1
nvidia-580xx-utils 580.142-1
nwg-displays 0.3.28-1
nwg-dock-hyprland 0.4.8-4
nwg-look 1.0.6-1
obs-studio 32.1.0-2
obsidian 1.12.7-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
openal 1.25.1-1
opencl-nvidia 595.58.03-1
opencore-amr 0.1.6-2
openexr 3.4.8-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.26.3-3
openrgb 1.0rc2-6
openssh 10.2p1-2
openssl 3.6.1-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.42-1
ostree 2025.7-3
otf-font-awesome 7.2.0-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260213-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.1-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
paper-icon-theme-git 832.aa3e8af7-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.1-1
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-html-parser 3.83-2
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.16-6
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
